Course,Type,Title,Syl,Cr,Instructor,Cur,Lim,Days,Rm,From,To
0096LAW-096-001,,"Lgl Eng for Lawyers 
This course has a Wait List",,0,Hein-Dunne,17,17,TTH,527,130001:00PM,145002:50PM
0096LAW-096-002,,"Lgl Eng for Lawyers 
This course has a Wait List",,0,Hein-Dunne,16,16,TTH,501,150003:00PM,165004:50PM
0503LAW-503-001,,"Constitutional Law (JD only) 
This course has a Wait List",,4,Raskin,100,100,TTH,401,180006:00PM,195007:50PM
0503LAW-503-002,,US Constitutional Law (LLM only),x,3,Michelman,34,45,T,503,180006:00PM,205008:50PM
0507LAW-507-001,,US Criminal Law (LLM only),x,3,Ben Miller,17,45,M,101,193007:30PM,221010:10PM
0508LAW-508-001,,Criminal Procedure I,x,3,Daskal,58,60,TTH,503,133001:30PM,145002:50PM
0508LAW-508-002,@,"Criminal Procedure I 
This course has a Wait List",,3,Davis,60,60,TTH,524,133001:30PM,145002:50PM
0508LAW-508-003,,Criminal Procedure I,,3,Kittrie,32,60,MW,524,180006:00PM,192007:20PM
0508LAW-508-004,@,"Criminal Procedure I 
This course has a Wait List",,3,Jones,59,60,MW,503,133001:30PM,145002:50PM
0508LAW-508-005,@,"Criminal Procedure I 
This course has a Wait List",x,3,Zachem,59,60,TTH,100,133001:30PM,145002:50PM
0508LAW-508-006,@,"Criminal Procedure I 
This course has a Wait List",x,3,"Bair, Barbera",51,52,M,503,193007:30PM,220010:00PM
0508LAW-508-007,@,"Criminal Procedure I 
This course has a Wait List",x,3,McGovern,62,61,MW,101,180006:00PM,192007:20PM
0508LAW-508-008,,Criminal Procedure I,x,3,Troccoli,46,60,T,101,193007:30PM,221010:10PM
0580LAW-580-001,,American Legal Institutions (LLM only),,2,Berenson,72,85,W,101,200008:00PM,215009:50PM
0580LAW-580-002,,Legal Research & Writing (LLM only),,2,Schenker,72,85,M,100,163004:30PM,175005:50PM
0581LAW-581-001,,US Busnss Law (LLM only),x,3,"Jacobs, A.",28,50,M,601,180006:00PM,204508:45PM
0601LAW-601-001,,Administrative Law,x,3,Niles,68,80,TTH,101,133001:30PM,145002:50PM
0601LAW-601-002,,Administrative Law,x,3,Lubbers,72,80,MW,100,180006:00PM,192007:20PM
0601LAW-601-003,,Administrative Law,x,3,Leiter,75,80,MW,602,133001:30PM,145002:50PM
